Land,Jahr,Kohle,Fossil,Gas,Atom,Green
China,2000,1060.26,1160.57,5.77,16.74,225.56
China,2001,1129.14,1231.11,4.93,17.47,280.73
China,2002,1282.57,1388.18,4.19,25.13,291.41
China,2003,1519.97,1634.79,5.16,43.34,287.28
China,2004,1722.42,1860.94,7.46,50.47,357.43
China,2005,1980.15,2093.31,12.14,53.09,404.37
China,2006,2302.42,2402.08,23.82,54.84,446.72
China,2007,2656.7,2746.79,33.91,62.13,500.71
China,2008,2708.91,2781.1,34.57,68.39,665.08
China,2009,2911.52,2992.32,56.56,70.05,664.39
China,2010,3233.6,3380.75,77.73,74.74,786.38
China,2011,3690.87,3867.24,108.77,87.2,792.38
China,2012,3748.19,3920.88,110.25,98.32,999.56
China,2013,4077.37,4259.76,116.39,111.5,1093.37
China,2014,4203.06,4407.66,133.28,133.22,1289.23
China,2015,4046.17,4286,166.91,171.38,1393.66
China,2016,4156.35,4449.75,188.28,213.18,1522.79
China,2017,4430.03,4745.33,203.2,248.1,1667.06
China,2018,4763.92,5092.22,215.5,295,1835.32
China,2019,4855.19,5192.63,232.5,348.7,2014.57
China,2020,4921.96,5281.4,252.5,366.2,2184.94
Germany,2000,152.25,126.67,70.87,154.64,25.21
Germany,2001,147.12,124.34,69.65,156.01,30.44
Germany,2002,142.18,123.89,72.01,158.24,34.15
Germany,2003,137.6,121.8,73.45,160.44,37.9
Germany,2004,135.3,119.65,74.88,161.5,41.23
Germany,2005,133.55,118.75,75.92,162.83,44.58
Germany,2006,131.2,117.34,76.45,163.99,48.36
Germany,2007,129.8,116.67,77.88,165.67,52.18
Germany,2008,128.92,115.78,79.1,167.24,55.72
Germany,2009,127.3,114.23,80.05,169.56,59.16
Germany,2010,125.87,113.12,81.2,171.7,63.25
Germany,2011,124.45,112.22,82.45,174.23,67.89
Germany,2012,123.12,111.45,83.7,176.88,72.11
Germany,2013,121.89,110.67,84.92,179.56,76.65
Germany,2014,120.78,109.89,86.14,182.45,81.02
Germany,2015,119.67,108.9,87.45,185.12,85.21
